time,length
0.0,7.999832262070603
0.08,23.522316651729923
0.16,32.96286699909799
0.24,41.42332372533675
0.32,49.35167908938264
0.39999999999999997,56.87724086711048
0.48,64.1796816123256
0.5599999999999999,71.2423821108036
0.64,78.13640173497963
0.72,84.88026817207715
0.7999999999999999,91.55706753626731
0.88,98.02852318841786
0.96,104.49338973150246
1.04,110.79903886163562
1.1199999999999999,117.1499987716921
1.2,123.33765106750525
1.28,129.4811289242986
1.3599999999999999,135.5874851598657
1.44,141.63436408323747
1.52,147.61450245304408
1.5999999999999999,153.56145194570283
1.68,159.37818837345617
1.76,165.2678010696079
1.8399999999999999,171.13912868259115
1.92,176.913123007501
2.0,182.71199235043628
2.08,188.574380589426
